"date","name","description","type","locations"
"2003-03-08","International Women's Day","International Women’s Day celebrates women’s achievements worldwide and throughout history.","United Nations observance","All"
"2003-03-17","St. Patrick's Day","St Patrick's Day marks the life and deeds of St Patrick, one of Ireland's patron saints. It is an Irish-American celebration in the USA.","Observance, Christian","All"
"2003-03-17","Evacuation Day","Evacuation Day in Suffolk County, Massachusetts, commemorates the first major American military victory in the Revolutionary War, which saw the British troops evacuate Boston.","Local holiday","MA (partly)"
"2003-03-18","Purim","Purim commemorates a time when Jewish people were saved from death around the fourth century BCE, according to the Book of Esther.","Hebrew","All"
"2003-03-20","March Equinox",NA,"Season","All"
"2003-03-21","International Day for the Elimination of Racial Discrimination","The United Nations’ (UN) International Day for the Elimination of Racial Discrimination is annually observed on March 21.","United Nations observance","All"
"2003-03-21","World Poetry Day","World Poetry Day celebrates poetry around the world on March 21 each year.","United Nations observance","All"
"2003-03-22","World Water Day","World Water Day aims to increase people's awareness of the water's importance in all aspects of life.","United Nations observance","All"
"2003-03-23","World Meteorological Day","World Meteorological Day marks the anniversary of the World Meteorological Organization's establishment on March 23, 1950.","United Nations observance","All"
"2003-03-24","World Tuberculosis Day","World Tuberculosis Day is annually held on March 24 to raise awareness of tuberculosis and ways to eradicate the disease.","United Nations observance","All"
"2003-03-25","International Day of Solidarity with Detained and Missing Staff Members","The UN’s International Day of Solidarity with Detained and Missing Staff Members is annually held on March 25.","United Nations observance","All"
"2003-03-25","Maryland Day","Maryland Day commemorates the arrival of Lord Baltimore and the first colonists in Maryland, the United States, in the 17th century.","Local observance","MD"
"2003-03-26","Prince Jonah Kuhio Kalanianaole Day","Prince Jonah Kuhio Kalanianaole Day is annually held in Hawaii on March 26 to honor Prince Jonah Kuhio Kalanianaole.","Local holiday","HI"
"2003-03-31","Seward's Day","Seward’s Day is a state holiday in Alaska, in the United States, on the last Monday of March.","Local holiday","AK"
"2003-03-31","César Chávez Day","César Chávez Day celebrates the birthday of César Estrada Chávez.","Local holiday","CA"
"2003-03-31","César Chávez Day","César Chávez Day celebrates the birthday of César Estrada Chávez.","Local holiday","TX (optional)"
"2003-03-31","César Chávez Day","César Chávez Day celebrates the birthday of César Estrada Chávez.","Local holiday","CO (optional)"
"2003-04-01","April Fool's Day","April Fool's Day, on April 1, is a day to play practical jokes and tricks.","Worldwide observance","All"
"2003-04-02","Pascua Florida Day","Pascua Florida Day, which usually falls on April 2, is a state day in Florida, USA.","Local observance","FL"
"2003-04-06","Daylight Saving Time starts",NA,"Clock change/Daylight Saving Time","All"
"2003-04-06","National Tartan Day","National Tartan Day is annually observed on April 6 to honor the major role that Scottish Americans played in the founding of the United States of America.","Observance","All"
"2003-04-07","United Nations' World Health Day","The World Health Organization, the United Nations' the directing and coordinating authority for health, annually highlights one of its priorities for global health on World Health Day.","United Nations observance","All"
"2003-04-13","Palm Sunday","Palm Sunday in the United States celebrates Jesus Christ’s entry into Jerusalem. It is also the Sunday before Easter Sunday.","Christian","All"
"2003-04-15","Tax Day","Tax Day is the deadline for United States residents to file details of their income to the Internal Revenue Service (IRS) so that their liability for income tax can be assessed.","Observance","All"
"2003-04-15","Father Damien Day","Father Damien Day or Saint Damien Day is an occasion for residents of the state of Hawaii to remember the life and deeds of a Belgian missionary.","Local observance","HI"
"2003-04-16","Emancipation Day","People celebrate the end of slavery and citizens' rights on Emancipation Day in the United States.","Local observance","All"
"2003-04-17","Maundy Thursday","Maundy Thursday, which is also known as Holy Thursday, is the day before Good Friday.","Christian","All"
"2003-04-17","Passover (first day)"," Passover marks the Israelites' liberation from slavery and their exodus from Egypt around 3000 years ago.","Hebrew","All"
"2003-04-18","Good Friday","Good Friday commemorates Jesus Christ's crucifixion.","Local holiday, Christian","CT, HI, DE, IN, KY, LA, NJ, NC, ND, TN, TX (optional)"
"2003-04-19","Holy Saturday","Holy Saturday is the day before Easter Sunday in the United States.","Christian","All"
"2003-04-20","Easter Sunday","Easter Sunday is an important day in the Christian church calendar because it celebrates Jesus Christ's resurrection, according to Christian belief.","Observance, Christian","All"
"2003-04-21","Easter Monday","Easter Monday is the day after Easter Sunday. It is not a federal holiday in the United States of America (USA).","Observance, Christian","All"
"2003-04-21","Patriot's Day","Patriot's Day commemorates the battles of Lexington and Concord in 1775, which were two of the earliest battles in the American Revolutionary War.","Local holiday","ME, MA"
"2003-04-21","San Jacinto Day","San Jacinto Day commemorates the Battle of San Jacinto in what is now Harris County, Texas.","Local holiday","TX"
"2003-04-21","Boston Marathon","Boston Marathon is one of the world's oldest yearly marathon. It is held annually on Patriot's Day in the month of April.","Sporting event","All"
"2003-04-22","Earth Day","The United Nations' International Mother Earth Day promotes environmental awareness and calls for the protection of our planet.","United Nations observance","All"
"2003-04-22","Oklahoma Day","Oklahoma Day in the United States marks the anniversary of the opening of Oklahoma's lands to European settlers.","Local observance","OK"
"2003-04-23","World Book and Copyright Day","World Book and Copyright Day is an occasion to celebrate the contribution of books and authors to our global culture and the connection between copyright and books.","United Nations observance","All"
"2003-04-23","Administrative Professionals Day","Administrative Professionals Day® is on the Wednesday of the last full week of April. It remembers the important role of administrative professionals.","Observance","All"
"2003-04-24","Last Day of Passover","The last day of Passover marks the end of the Passover period, which lasts for seven or eight days.","Hebrew","All"
"2003-04-24","Take our Daughters and Sons to Work Day",NA,"Observance","All"
"2003-04-25","Orthodox Good Friday","Many Orthodox Christians in the United States remember the events leading up to Jesus Christ's crucifixion on Great Friday.","Orthodox","All"
"2003-04-25","Arbor Day","Arbor Day encourages people to plant and care for trees. In Nebraska, it falls on the last Friday of April.","Local holiday","NE"
"2003-04-26","Orthodox Holy Saturday","Many Orthodox Christians in the United States remember Jesus Christ’s burial and his descent into Hades on Holy Saturday.","Orthodox","All"
"2003-04-26","World Intellectual Property Day","World Intellectual Property Day is annually held on April 26 to increase awareness and understanding of intellectual property worldwide.","United Nations observance","All"
"2003-04-26","Confederate Heroes' Day","On Confederate Memorial Day remembers the soldiers who died fighting for the Confederate States of America during the American Civil War (1861-1865). It is a state holiday in some parts of the United States.","Local observance","FL"
"2003-04-27","Orthodox Easter","Many Orthodox Christians in the United States mark Easter Sunday, also known as Pascha, as the day Jesus Christ was resurrected, according to the Christian bible.","Orthodox","All"
"2003-04-28","Orthodox Easter Monday","Many Orthodox churches in the United States observe Easter Monday on the day after the Orthodox Easter Sunday date.","Orthodox","All"
"2003-04-28","World Day for Safety and Health at Work","The World Day for Safety and Health at Work is observed on April 28 each year.","United Nations observance","All"
"2003-04-28","Confederate Memorial Day","On Confederate Memorial Day remembers the soldiers who died fighting for the Confederate States of America during the American Civil War (1861-1865). It is a state holiday in some parts of the United States.","Local holiday","MS"
"2003-04-28","Confederate Memorial Day","On Confederate Memorial Day remembers the soldiers who died fighting for the Confederate States of America during the American Civil War (1861-1865). It is a state holiday in some parts of the United States.","Local holiday","AL"
"2003-04-28","Confederate Heroes' Day","On Confederate Memorial Day remembers the soldiers who died fighting for the Confederate States of America during the American Civil War (1861-1865). It is a state holiday in some parts of the United States.","Local holiday","GA"
"2003-04-29","Yom HaShoah","Many people in the United States observe Yom Hashoah by remembering Holocaust victims who died during World War II.","Hebrew","All"
"2003-05-01","Law Day","Law Day in the United States is annually held on May 1.","Observance","All"
"2003-05-01","Loyalty Day","Loyalty Day is a special day for people to reaffirm their loyalty to the United States and to recognize the heritage of American freedom.","Observance","All"
"2003-05-01","National Day of Prayer","National Day of Prayer is held on the first Thursday of May each year, inviting Americans of all faiths to pray for the country and its leaders.","Observance","All"
"2003-05-01","Lei Day","May Day is Lei Day in Hawai'i, celebrating Hawaiian culture or the “Aloha spirit.","Local observance","HI"
"2003-05-02","Kentucky Oaks","The Kentucky Oaks is a rade 1 Stakes horse race held annually on the Friday before the Kentucky Derby in May.","Sporting event","All"
"2003-05-03","World Press Freedom Day","World Press Freedom Day focuses on the importance of the freedom of the press and freedom of expression.","United Nations observance","All"
"2003-05-03","Kentucky Derby","Kentucky Derby is a Grade I Stakes horse race held annually in Louisville, Kentucky in May.","Sporting event","All"
"2003-05-04","Kent State Shootings Remembrance","Kent State Shootings Remembrance Day is a local observance in Kent, Ohio.","Local observance","OH"
"2003-05-04","Rhode Island Independence Day","Rhode Island Independence Day is a day to celebrate the state's declaration of independence from Great Britain in 1776.","Local observance","RI"
"2003-05-05","Cinco de Mayo","'Cinco de Mayo' means ""Fifth of May"" in Spanish and is a festival of Mexican pride and heritage.","Observance","All"
"2003-05-06","National Nurses Day","National Nurses Day is an occasion to honor the work of nurses.","Observance","All"
"2003-05-07","Yom Ha'atzmaut","Many Jewish communities in the United States celebrate Yom Ha’Atzmaut, which is Israel’s Independence Day, on the fifth day of the month of Iyar in the Jewish calendar.","Hebrew","All"
"2003-05-08","Truman Day","Truman Day is a holiday in the state of Missouri to honor Harry S Truman, the only person born in Missouri to ever become President of the United States.","Local holiday","MO"
"2003-05-09","Confederate Memorial Day observed","On Confederate Memorial Day remembers the soldiers who died fighting for the Confederate States of America during the American Civil War (1861-1865). It is a state holiday in some parts of the United States.","Local holiday","SC"
"2003-05-10","Confederate Memorial Day","On Confederate Memorial Day remembers the soldiers who died fighting for the Confederate States of America during the American Civil War (1861-1865). It is a state holiday in some parts of the United States.","Local holiday","NC"
"2003-05-10","Confederate Memorial Day","On Confederate Memorial Day remembers the soldiers who died fighting for the Confederate States of America during the American Civil War (1861-1865). It is a state holiday in some parts of the United States.","Local holiday","SC"
"2003-05-11","Mother's Day","Mother's Day celebrates the role of mothers and mother figures.","Observance","All"
"2003-05-12","International Nurses Day","Interantional Nurses Day is used to focus on the important task of recruiting and training nurses worldwide.","Worldwide observance","All"
"2003-05-14","The Prophet's Birthday","Eid Milad ul-Nabi (Mawlid or Milad-un-Nabi) commemorates the Prophet Muhammed's birthday.","Muslim","All"
"2003-05-15","International Day of Families","The International Day of Families is an occasion to celebrate the importance of families to people, societies and cultures around the world.","United Nations observance","All"
"2003-05-15","Peace Officers Memorial Day","Peace Officers Memorial Day is held annually in the United States on May 15 in honor of federal, state and local officers killed or disabled in the line of duty.","Observance","All"
"2003-05-16","National Defense Transportation Day","National Defense Transportation Day occurs annually in the United States on the third Friday of May.","Observance","All"
"2003-05-17","Armed Forces Day","Armed Forces Day is a national observance in the United States on the third Saturday of May each year.","Observance","All"
"2003-05-17","Preakness Stakes","The Preakness Stakes is the second event in the Triple Crown and is annually held two weeks after the Kentucky Derby.","Sporting event","All"
"2003-05-20","Lag BaOmer","Many Jewish Americans observe Lag B’Omer on the 18th day of the month of Iyar in the Jewish calendar.","Hebrew","All"
"2003-05-21","World Day for Cultural Diversity for Dialogue and Development","The World Day for Cultural Diversity for Dialogue and Development, held on May 21, is an occasion for people to deepen their understanding of cultural diversity.","United Nations observance","All"
"2003-05-22","International Day for Biological Diversity","The International Day for Biological Diversity is an occasion to increase the global understanding and awareness of issues and challenges around biodiversity.","United Nations observance","All"
"2003-05-22","National Maritime Day","National Maritime Day is annually observed in the United States on May 22. It is a time to observe its maritime heritage, to honor those who served as merchant mariners, and to recognize the benefits of the maritime industry.","Observance","All"
"2003-05-25","African Liberation Day","African Liberation Day celebrates African nations' hard-fought freedom from European colonial powers.","Worldwide observance","All"
"2003-05-25","National Missing Children's Day","National Missing Children's Day is an observation dedicated to addressing the problem of child abduction.","Observance","All"
"2003-05-26","Memorial Day","Memorial Day commemorates all Americans who have died in military service for the United States.","National holiday","All"
"2003-05-26","Jefferson Davis' Birthday","Jefferson Davis' Birthday, also known as Jefferson Davis Day, is a state holiday in Alabama in the United States.","Local observance","MS"
"2003-05-29","Ascension Day","Ascension Day is the 40th day of Easter and commemorates the ascension of Jesus Christ into heaven.","Christian","All"
"2003-05-29","International Day of United Nations Peacekeepers","The International Day of United Nations Peacekeepers is an occasion to pay tribute to people who served in United Nations (UN) peacekeeping operations.","United Nations observance","All"
"2003-05-31","World No Tobacco Day","World No Tobacco Day draws attention to the health problems caused by tobacco use.","United Nations observance","All"
"2003-06-01","Statehood Day","Statehood Day marks the anniversary of the dates that Kentucky became the 15th state and Tennessee became the 16th state of the United States.","Local observance","KY, TN"
"2003-06-02","Jefferson Davis' Birthday","Jefferson Davis' Birthday, also known as Jefferson Davis Day, is a state holiday in Alabama in the United States.","Local holiday","AL"
"2003-06-03","Jefferson Davis' Birthday","Jefferson Davis' Birthday, also known as Jefferson Davis Day, is a state holiday in Alabama in the United States.","Local observance","FL"
"2003-06-04","International Day of Innocent Children Victims of Aggression","The United Nations' (UN) International Day of Innocent Children Victims of Aggression is observed on June 4 each year.","United Nations observance","All"
"2003-06-05","World Environment Day","World Environment Day is held each year on June 5. It is one of the principal vehicles through which the United Nations (UN) stimulates worldwide awareness of the environment and enhances political attention and action.","United Nations observance","All"
"2003-06-06","Shavuot","Shavuot, also known as the Festival of Weeks, is one of three major Jewish festivals.","Hebrew","All"
"2003-06-06","D-Day","D-Day is a special anniversary in some countries, including the United States (U.S.), to remember Allied forces’ invasion of Normandy, France, in the Second World War.","Observance","All"
"2003-06-07","Belmont Stakes","The Belmont Stakes is the third and final horse race of the Triple Crown. It is run annually five weeks after the Kentucky Derby.","Sporting event","All"
"2003-06-08","Pentecost","Many Christians in the United States observe Pentecost, also known as Whitsunday or Whit Sunday.","Christian","All"
"2003-06-09","Whit Monday","Many Christians in the United States will observe Whit Monday, or Pentecost Monday. It is the day after Pentecost, which is also known as Whit Sunday or Whitsunday.","Christian","All"
"2003-06-11","Kamehameha Day","Kamehameha Day, held annually on June 11, honors Kamehameha the Great (Kamehameha I), the monarch who united and established the Kingdom of Hawaii.","Local holiday","HI"
"2003-06-13","Friday the 13th","Friday the 13th is a day full of superstitious beliefs in communities worldwide.","Worldwide observance","All"
"2003-06-14","Army Birthday",NA,"Observance","All"
"2003-06-14","Flag Day","Flag Day is annually held on June 14 to honor the United States flag.","Observance","All"
"2003-06-15","Trinity Sunday","Trinity Sunday is the first Sunday after Pentecost and is celebrated by many Christians in the United States.","Christian","All"
"2003-06-15","Father's Day","Father's Day celebrates the contribution that fathers and father figures make to the lives of their children.","Observance","All"
"2003-06-17","World Day to Combat Desertification and Drought","The United Nations' World Day to Combat Desertification and Drought is observed worldwide on June 17 each year.","United Nations observance","All"
"2003-06-17","Bunker Hill Day","Bunker Hill Day commemorates the Battle of Bunker Hill, which took place on June 17, 1775 on the Charlestown Peninsula, Boston Harbor, in Massachusetts.","Local holiday","MA"
"2003-06-19","Corpus Christi","Corpus Christi is observed in honor of the Holy Eucharist.","Christian","All"
"2003-06-19","Juneteenth","Juneteenth, also known as Freedom Day and Emancipation Day, is a holiday or observance in many US states to celebrate the anniversary of the abolition of slavery in Texas on June 19, 1865.","Local observance","All except AZ, HI, MD, MT, NH, ND, MP, SD, TX, UT"
"2003-06-19","Emancipation Day","Juneteenth, also known as Freedom Day and Emancipation Day, is a holiday or observance in many US states to celebrate the anniversary of the abolition of slavery in Texas on June 19, 1865.","Local holiday","TX"
"2003-06-20","World Refugee Day","The United Nations' World Refugee Day honors refugees' courage, strength and determination.","United Nations observance","All"
"2003-06-20","West Virginia Day","West Virginia Day, or WV Day, celebrates the anniversary of the creation of the state of West Virginia on June 20, 1863.","Local holiday","WV"
"2003-06-21","June Solstice",NA,"Season","All"
"2003-06-23","Public Service Day","The United Nations’ Public Service Day celebrates the idea that democracy and successful governance depend on a competent civil service.","United Nations observance","All"
"2003-06-26","International Day Against Drug Abuse and Illicit Trafficking","The United Nations’ (UN) International Day Against Drug Abuse and Illicit Trafficking raise awareness about the dangers of illicit drugs.","United Nations observance","All"
"2003-06-26","International Day in Support of Victims of Torture","The United Nations’ (UN) International Day in Support of Victims of Torture is annually observed on June 26 to remind people that human torture is not only unacceptable – it is also a crime.","United Nations observance","All"
"2003-07-04","Independence Day","On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.","National holiday","All"
"2003-07-05","International Day of Cooperatives","The United Nations' (UN) International Day of Cooperatives recognizes and reaffirms the role of cooperatives in economic, social and cultural development and in the achievement of social policy objectives.","United Nations observance","All"
"2003-07-11","World Population Day","The United Nations' (UN) World Population Day reaffirms the human right to plan for a family.","United Nations observance","All"
"2003-07-14","Bastille Day",NA,"Observance","All"
"2003-07-24","Pioneer Day","Pioneer Day is an annual state holiday in Utah in the United States. It is celebrated to honor the pioneers who demonstrated industry and bravery when they ventured to settle in a place that is now Salt Lake City.","Local holiday","UT"
"2003-07-27","Parents' Day","Parents’ Day is celebrated in the United States on the fourth Sunday of July each year to recognize and promote parenting as a crucial part of families and the wider community.","Observance","All"
"2003-07-27","National Korean War Veterans Armistice Day",NA,"Observance","All"
"2003-08-01","Colorado Day","Colorado Day is an annual observance that commemorates the state’s birthday on August 1, 1876, and its history.","Local observance","CO"
"2003-08-04","Coast Guard Birthday",NA,"Observance","All"
"2003-08-07","Tisha B'Av","Tisha B’Av is on the ninth day of the month of Av in the Jewish calendar.","Hebrew","All"
"2003-08-07","Purple Heart Day","Purple Heart Day on August 7 commemorates the day in 1782 when General George Washington created the Purple Heart Medal – a military decoration that is awarded to those wounded or killed while serving in the United States Armed Forces.","Observance","All"
"2003-08-09","International Day of the World's Indigenous People","The United Nations’ (UN) International Day of the World's Indigenous People is observed on August 9 each year to promote and protect the rights of the world’s indigenous peoples.","United Nations observance","All"
"2003-08-11","Victory Day","Victory Day, also known as VJ Day, is an annual state holiday celebrated on the second Monday in August in Rhode Island in the United States. It marks the anniversary of the Allies’ victory over Japan during World War II.","Local holiday","RI"
"2003-08-12","International Youth Day","The United Nations’ (UN) International Youth Day is annually held on August 12 to celebrate the achievements of the world’s youth and to encourage their participation in enhancing society.","United Nations observance","All"
"2003-08-15","Assumption of Mary","Assumption Day is a Christian observance in the United States that is held annually on August 15. Catholics observe the Dormition (falling asleep) or the day that the Blessed Virgin Mary was received into heaven.","Christian","All"
"2003-08-15","Statehood Day in Hawaii","Hawaii’s Statehood Day is celebrated on the third Friday of August to commemorate the anniversary of Hawaii’s statehood.","Local holiday","HI"
"2003-08-15","Bennington Battle Day observed","Bennington Battle Day is a state holiday in Vermont. It commemorates the American victory at the Battle of Bennington during the Revolutionary War in north America in 1777.","Local holiday","VT"
"2003-08-16","Bennington Battle Day","Bennington Battle Day is a state holiday in Vermont. It commemorates the American victory at the Battle of Bennington during the Revolutionary War in north America in 1777.","Local holiday","VT"
"2003-08-19","National Aviation Day","National Aviation Day is observed in the United States on August 19 each year to celebrate the history and development of the aviation.","Observance","All"
"2003-08-21","Senior Citizens Day","National Senior Citizens Day is an observance on August 21 to honor the contributions of senior citizens in the United States.","Observance","All"
"2003-08-23","International Day for the Remembrance of the Slave Trade and its Abolition","The United Nations’ (UN) International Day for the Remembrance of the Slave Trade and its Abolition is held on August 23 each year to remind people of the tragedy of the transatlantic slave trade.","United Nations observance","All"
"2003-08-26","Women's Equality Day","Women's Equality Day on August 26 is an annual observance that commemorates the anniversary of the first time voting rights were extended to women in the United States.","Observance","All"
"2003-08-27","Lyndon Baines Johnson Day","Lyndon Baines Johnson Day is a state holiday in Texas in the United States on August 27 each year. It commemorates the birthday of Lyndon Baines Johnson, who was the 36th president of the USA.","Local holiday","TX"
"2003-08-31","International Overdose Awareness Day"," International Overdose Awareness Day is an annual observation which aims to raise global awareness of about the impact of drug overdose on families and communities. The campaign also attempts to remove the stigma associated with overdose.","Worldwide observance","All"
"2003-09-01","Labor Day","Labor Day is a federal holiday in the United States. It gives workers a day of rest and it celebrates their contribution to the American economy.","National holiday","All"
"2003-09-06","Carl Garner Federal Lands Cleanup Day","Carl Garner Federal Lands Cleanup Day encourages people in the United States to participate in cleaning up the federal lands. It is observed on the first Saturday after Labor Day.","Observance","All"
"2003-09-07","National Grandparents Day","National Grandparents Day is celebrated on the first Sunday of September after Labor Day in the United States.","Observance","All"
"2003-09-08","International Literacy Day","The United Nations' (UN) International Literacy Day is held on September 8 each year.","United Nations observance","All"
"2003-09-09","California Admission Day","California Admission Day is an annual legal observance in California, in the United States.","Local observance","CA"
"2003-09-10","World Suicide Prevention Day","World Suicide Prevention Day promotes worldwide action to prevent suicides on September 10 each year.","United Nations observance","All"
"2003-09-11","Patriot Day","Patriot Day is held in memory of nearly 3000 people who died during terrorist attacks in New York, Washington DC and Shanksville, Pennsylvania, in the United States.","Observance","All"
"2003-09-16","International Day for the Preservation of the Ozone Layer","The United Nations' (UN) International Day for the Preservation of the Ozone Layer focuses on the importance of protecting human health and the environment.","United Nations observance","All"
"2003-09-17","Citizenship Day","Constitution Day and Citizenship Day is a combined event that occurs in the United States on September 17 each year.","Observance","All"
"2003-09-18","Air Force Birthday",NA,"Observance","All"
"2003-09-19","National POW/MIA Recognition Day","National POW/MIA Recognition Day is annually observed in the United States on the third Friday of September.","Observance","All"
"2003-09-21","International Day of Peace","The United Nations' (UN) International Day of Peace is annually held on September 21 to recognize the efforts of individuals, organizations and governments to end conflict and promote peace.","United Nations observance","All"
"2003-09-22","Emancipation Day","Emancipation Day is a state-wide observation in Ohio on September 22.","Local observance","OH"
"2003-09-23","September Equinox",NA,"Season","All"
"2003-09-23","International Celebrate Bisexuality Day","International Celebrate Bisexuality Day, also known as Bi Visibility Day, promotes the rights of bisexual people around the world.","Worldwide observance","All"
"2003-09-24","Isra and Mi'raj","Isra and Mi'raj (Isra Me'raj, Israa and Mi'raaj, Laylat Al-Isra wa Al-Miraj, Lailat al Miraj, Night Journey and Ascension to Heaven) marks the night when the Prophet Mohammad traveled from Mecca to Jerusalem, ascended to heaven and returned.","Muslim","All"
"2003-09-25","World Maritime Day","World Maritime Day is held on the last week of September each year, although the exact date is up to individual governments around the world.","United Nations observance","All"
"2003-09-26","Native American Day","Native Americans' Day is celebrated in the state of South Dakota, while Indigenous People's Day is celebrated in Berkeley, California, on the second Monday of October.","Local observance","CA"
"2003-09-27","World Tourism Day","The United Nations’ (UN) World Tourism Day is annually held on September 27 to raise awareness on the benefits of tourism.","United Nations observance","All"
"2003-09-27","Rosh Hashana","Rosh Hashana, also spelled Rosh Hashanah, is commonly known as the Jewish New Year. The event begins on the first day of Tishrei (or Tishri), which is the seventh month in the Jewish calendar.","Hebrew","All"
"2003-09-27","Rosh Hashana","Rosh Hashana, also spelled Rosh Hashanah, is commonly known as the Jewish New Year. The event begins on the first day of Tishrei (or Tishri), which is the seventh month in the Jewish calendar.","Local holiday","TX (optional)"
"2003-09-28","World Heart Day","World Heart Day raises awareness of cardiovascular diseases and ways to reduce their risk.","Worldwide observance","All"
"2003-09-28","Gold Star Mother's Day","Gold Star Mother’s Day is annually observed in the United States on the last Sunday of September.","Observance","All"
"2003-10-01","International Day of Older Persons","The United Nations' (UN) International Day of Older Persons is celebrated on October 1 each year as a special day for older persons worldwide.","United Nations observance","All"
"2003-10-01","World Vegetarian Day"," World Vegetarian Day is an annual observation that spreads awareness about the health, environmental, and ethical benefits of following a vegetarian lifestyle. The unofficial holiday encourages people to avoid eating foods that include animal products and to adopt a plant-based diet.","Worldwide observance","All"
"2003-10-04","Feast of St Francis of Assisi","Many Catholics in the United States, particularly those with pets, celebrate the Feast of St Francis of Assisi, the patron saint of animals and the environment, on October 4 each year.","Christian","All"
"2003-10-05","World Teachers' Day","The United Nations' (UN) World Teachers' Day commemorates the work of teachers and their contributions to society. It is observed on October 5 each year.","United Nations observance","All"
"2003-10-06","World Habitat Day","The United Nations’ (UN) World Habitat Day reflects on the state of human settlements and people’s right to sufficient shelter.","United Nations observance","All"
"2003-10-06","Child Health Day","Child Health Day is annually celebrated in the United States on the first Monday of October.","Observance","All"
"2003-10-06","Yom Kippur","Yom Kippur is an important Jewish holiday that falls on the 10th day of the month of Tishrei in the Jewish calendar.","Hebrew","All"
"2003-10-06","Yom Kippur","Yom Kippur is an important Jewish holiday that falls on the 10th day of the month of Tishrei in the Jewish calendar.","Local holiday","TX (optional)"
"2003-10-08","International Day for Natural Disaster Reduction","The United Nations’ (UN) International Day for Natural Disaster Reduction is annually observed on the second Wednesday of October to promote a global culture of natural disaster risk reduction.","United Nations observance","All"
"2003-10-09","World Post Day","World Post Day marks the anniversary of the Universal Postal Union's establishment in 1874. It is held on October 9 each year.","United Nations observance","All"
"2003-10-09","World Sight Day","World Sight Day is annually held on the second Thursday of October to raise awareness about blindness and vision impairment.","Worldwide observance","All"
"2003-10-09","Leif Erikson Day","Leif Erikson Day honors the first Scandinavian known to have set foot on American soil and the contribution of the Nordic peoples to the United States.","Observance","All"
"2003-10-10","World Mental Health Day","World Mental Health Day, which is supported by the United Nations (UN), is annually held on October 10 to raise public awareness about mental health issues worldwide.","United Nations observance","All"
"2003-10-11","First Day of Sukkot","The first day of Sukkot marks the start of the Sukkot festival for Jewish communities in many countries, including the United States.","Hebrew","All"
"2003-10-12","Chicago Marathon","The Chicago Marathon is one of the six World Marathon Majors and is held annually in October.","Sporting event","All"
"2003-10-13","Navy Birthday","Navy Birthday celebrates the establishment of the United States Navy on October 13, 1775.","Observance","All"
"2003-10-13","Columbus Day","Columbus Day celebrates 15th century explorer Christopher Columbus's arrival in America in 1492.","National holiday","All except AK, AR, HI, NV"
"2003-10-13","Native Americans' Day","Native Americans' Day is celebrated in the state of South Dakota, while Indigenous People's Day is celebrated in Berkeley, California, on the second Monday of October.","Local observance","SD"
"2003-10-13","Indigenous People's Day","Native Americans' Day is celebrated in the state of South Dakota, while Indigenous People's Day is celebrated in Berkeley, California, on the second Monday of October.","Local observance","CA (partly)"
"2003-10-15","White Cane Safety Day","White Cane Safety Day is a United States observance annually held on October 15 to celebrate blind and visually impaired people's achievements and the importance of the white cane.","Observance","All"
"2003-10-16","World Food Day","World Food Day is celebrated on October 16 each year.","United Nations observance","All"
"2003-10-16","Boss's Day","Boss’s Day is observed in many workplaces in the United States on October 16, or the nearest working day, each year.","Observance","All"
"2003-10-17","Last Day of Sukkot","Many Jewish communities in countries such as the United States observe the last day of Sukkot, which marks the end of the Sukkot festival.","Hebrew","All"
"2003-10-17","International Day for the Eradication of Poverty","The United Nations’ (UN) International Day for the Eradication of Poverty is annually observed on October 17 to promote awareness of the need to eradicate poverty worldwide.","United Nations observance","All"
"2003-10-17","Alaska Day observed","Alaska Day is an official holiday in Alaska, the United States, on October 18 each year. It commemorates the formal transfer of Alaska from Russia to the United States on October 18, 1867.","Local holiday","AK"
"2003-10-18","Shmini Atzeret","Shemini Atzeret (or Shmini Atzeret) is a Jewish holiday dedicated to the love of God, while Simchat Torah (Simchas Torah or Simhat Torah) marks the end of Sukkot and celebrates the completion of the annual reading of the Torah.","Hebrew","All"
"2003-10-18","Alaska Day","Alaska Day is an official holiday in Alaska, the United States, on October 18 each year. It commemorates the formal transfer of Alaska from Russia to the United States on October 18, 1867.","Local holiday","AK"
"2003-10-18","Sweetest Day",NA,"Observance","13 states"
"2003-10-19","Simchat Torah","Simchat Torah (Simchas Torah or Simhat Torah) is a Jewish holiday that marks the end of Sukkot and celebrates the completion of the annual reading of the Torah.","Hebrew","All"
"2003-10-24","United Nations Day","United Nations Day marks the anniversary of the United Nations Charter coming into force in 1945 and celebrates the work of this organization. United Nations Day annually falls on October 24.","United Nations observance","All"
"2003-10-24","World Development Information Day","The United Nations' (UN) World Development Information Day falls on October 24 each year.","United Nations observance","All"
"2003-10-26","Daylight Saving Time ends",NA,"Clock change/Daylight Saving Time","All"
"2003-10-27","Ramadan Starts","Many Muslims in the United States fast in the hours of daylight during Ramadan, the ninth month in the Islamic calendar.","Muslim","All"
"2003-10-31","Halloween","Halloween is celebrated by hosting costume parties, playing 'trick-or-treat', watching horror films, visiting haunted houses or carving lanterns out of pumpkins.","Observance","All"
"2003-10-31","Nevada Day","Nevada Day is an annual state holiday celebrated in Nevada, the United States, on the last Friday of October. It commemorates the statehood of Nevada, which took place on October 31, 1864.","Local holiday","NV"
